node1,node2,free_bw,used_bw,delay,pkloss
1,3,199998.712515,1287.420664,0.518799,0.0
1,7,172239.792083,27754054.982904,1.054525,0.002695
1,8,141604.413793,58394930.24859,2.472162,0.001491
1,10,199998.712515,1287.485006,3.917098,0.0
1,12,105962.495002,94024398.240704,1.446843,0.003989
1,30,166793.083458,33206193.176902,0.706434,0.003201
2,3,199999.904048,95.952024,0.593662,0.0
2,4,199999.904048,95.952024,0.670195,0.0
2,5,95931.059576,104060761.066488,0.674605,0.006145
2,17,199999.856058,143.93523,0.686288,0.0
2,21,153928.460616,46068641.256341,4.547954,0.000915
2,22,192671.528236,7327876.061969,0.721335,0.001199
2,28,195638.124938,4360683.658171,0.833511,0.004313
2,31,160919.080368,39080157.966998,0.627875,0.014353
3,4,192700.169915,7297447.276362,0.889421,0.0
3,5,18641.911044,181343322.766446,0.653863,0.000839
3,6,199998.712515,1287.420664,63.790917,0.0
3,7,178089.97901,21905255.372314,1.33419,0.0
3,12,99266.670665,100722278.422164,2.478361,0.009493
3,13,69790.136932,130201523.238381,0.574827,0.004963
3,15,199999.904038,95.95682,56.932688,0.0
3,20,199999.904038,95.95682,3.218532,0.0
3,27,182480.887645,17507514.198518,0.60606,0.0
3,31,152514.054973,47483552.281836,0.738859,0.010344
3,32,141992.922831,58002391.158279,0.664949,0.001781
4,11,199999.904038,95.95682,2.419591,0.0
4,14,127022.816592,72974800.5997,2.159476,0.003622
4,16,39032.795602,160966012.993502,0.914574,0.000807
4,17,45500.97561,154492494.703868,0.751972,0.000788
5,6,1119.112355,198878504.598161,1.241446,0.000622
5,9,168863.014794,31136985.205918,1.99604,0.006058
5,10,54943.846461,145053770.491804,0.366211,0.002643
5,11,75255.745702,124742467.013195,7.723689,0.002524
5,15,82202.327069,117797672.930828,0.42367,0.004064
5,16,13695.689724,186302148.141443,0.660419,0.00143
6,8,6015.129948,193972792.847079,60.322046,0.001732
6,19,110816.761295,89179973.175347,1.959205,0.001586
6,23,186735.865654,13263471.470982,2.768278,0.001988
6,27,170158.152739,29837081.167533,0.771761,0.012999
7,9,187573.506597,12419915.366987,1.934171,0.001975
8,18,23596.009596,176396366.016512,60.801506,0.00263
10,29,186990.851659,12998424.630148,0.484943,0.001802
11,13,157419.114443,42577056.133269,2.125621,0.002497
11,29,145050.419832,54945409.836065,0.439405,0.007105
13,14,44719.416292,155276413.793104,0.424743,0.000744
13,22,92656.663668,107337975.012494,0.504017,0.005368
14,20,199738.938531,260478.755424,0.596285,0.0
14,21,102535.673731,97459560.17593,5.998611,0.004981
14,24,130535.233906,69462485.995307,0.435829,0.001245
15,18,199999.808077,191.923231,0.335455,0.0
15,19,190167.405038,9830912.173661,2.700925,0.001452
15,26,104723.254373,95273166.89596,0.290394,0.002786
15,28,137043.334666,62951731.967283,0.260592,0.0
16,23,158537.795102,41460417.791104,2.250552,0.006081
16,25,181073.207396,18924409.795102,0.558972,0.004807
19,24,129704.61969,70295319.103343,0.49758,0.003514
19,25,184032.655672,15967344.327836,0.487447,0.0
20,26,198275.721711,1724192.117856,0.789046,0.0
22,32,166303.368316,33695337.033602,0.688791,0.00751
26,30,129144.65967,70852957.521239,0.416279,0.005021
