node1,node2,bwd,delay,pkloss
1,3,199999.903904,0.482321,0.0
1,7,199999.903904,2.005339,0.0
1,8,199999.855856,1.630306,0.0
1,10,199999.903904,2.085447,0.0
1,12,199999.855856,1.289368,0.0
1,30,199999.903904,1.328468,0.0
2,3,199999.855856,1.38092,0.0
2,4,199999.903904,1.413345,0.0
2,5,199999.903904,1.462579,0.0
2,17,199999.855856,0.819921,0.0
2,21,199999.855841,0.997901,0.0
2,22,199999.855856,1.62077,0.0
2,28,199999.903904,0.540733,0.0
2,31,199999.903904,1.417279,0.0
3,4,199999.903904,1.366138,0.0
3,5,199999.855856,2.74682,0.0
3,6,199999.903904,1.528859,0.0
3,7,199999.903904,1.76549,0.0
3,12,199999.855856,1.029372,0.0
3,13,199999.855856,1.692772,0.0
3,15,199999.903904,1.451969,0.0
3,20,199999.807808,1.564145,0.0
3,27,199999.903904,1.157761,0.0
3,31,199999.903904,1.092434,0.0
3,32,199999.903904,1.391888,0.0
4,11,199999.903894,1.598597,0.0
4,14,199999.807789,1.715064,0.0
4,16,199999.903894,1.50013,0.0
4,17,199999.855841,0.600219,0.0
5,6,199999.855856,1.886368,0.0
5,9,199999.855856,0.923634,0.0
5,10,199999.903904,0.699639,0.0
5,11,199999.903904,1.184464,0.0
5,15,199999.903904,1.537085,0.0
5,16,199999.855856,1.82426,0.0
6,8,199999.903904,1.373649,0.0
6,19,199999.855856,3.037453,0.0
6,23,199999.855856,1.442194,0.0
6,27,199999.903904,6.412864,0.0
7,9,199999.855856,0.725031,0.0
8,18,199999.807808,1.456022,0.0
10,29,199999.903904,1.160741,0.0
11,13,199999.855856,1.532435,0.0
11,29,199999.903904,1.125097,0.0
13,14,199999.855856,1.630306,0.0
13,22,199999.855856,1.627445,0.0
14,20,199999.903904,1.263738,0.0
14,21,199999.807789,1.688838,0.0
14,24,199999.903904,1.391411,0.0
15,18,199999.903904,1.699805,0.0
15,19,199999.855841,2.078056,0.0
15,26,199999.903904,1.241565,0.0
15,28,199999.903904,1.201272,0.0
16,23,199999.855856,1.523137,0.0
16,25,199999.903904,1.708508,0.0
19,24,199999.903904,1.428008,0.0
19,25,199999.903894,0.87893,0.0
20,26,199999.903904,0.917315,0.0
22,32,199999.903904,1.523137,0.0
26,30,199999.903904,0.977159,0.0
