node1,node2,free_bw,used_bw,delay,pkloss
1,3,40479.597685,159514455.39814,0.0,0.004429
1,7,39445.67608,160544529.750747,0.0,0.006639
1,8,57252.561389,142723114.635531,0.0,0.037226
1,10,115307.108494,84692703.98497,0.0,0.021026
1,12,165447.128318,34536567.603978,0.0,0.01968
1,30,157113.071243,42885739.373379,0.0,0.009915
2,3,38725.816585,161245323.198138,0.19002,0.015447
2,4,35948.540066,164046701.925945,0.0,0.00695
2,5,52621.684862,147335280.897771,0.0,0.036705
2,17,88655.275122,111339169.862548,0.537634,0.001439
2,21,145502.139721,54496925.349777,0.623822,0.004588
2,22,128406.107175,71586749.864594,0.0,0.026085
2,28,133015.427602,66982561.648086,0.530005,0.00929
2,31,145400.173271,54598541.445635,0.0,0.010094
3,4,17167.18092,182806451.447772,0.018835,0.008718
3,5,13974.385951,185963171.422871,5.48327,0.027389
3,6,22016.636999,177972063.85951,160.485625,0.008396
3,7,43342.436883,156642016.441986,0.860691,0.005486
3,12,130959.768509,69001066.034842,0.0,0.021627
3,13,31601.645039,168362965.147675,0.0,0.030616
3,15,82470.364544,117472878.394629,0.933051,0.023794
3,20,109960.494162,90036203.128419,0.0,0.010284
3,27,122703.046516,77273202.34554,1.347661,0.040689
3,31,145437.213295,54562351.245268,0.357866,0.020569
3,32,66799.156886,133191120.419392,1.14131,0.018547
4,11,47084.658218,152877489.308755,0.0,0.020032
4,14,97895.218285,102104108.650011,0.748992,0.015204
4,16,41015.713402,158969218.533559,0.0,0.008517
4,17,139472.03193,60526778.686889,0.0,0.002615
5,6,42276.966673,157684244.389555,0.0,0.026875
5,9,129709.603911,70284449.765532,0.0,0.01334
5,10,70413.478391,129565936.917029,0.0,0.045471
5,11,14615.430054,185362834.70865,0.570297,0.014525
5,15,83146.199241,116852007.433087,0.0,0.0396
5,16,84442.097196,115537454.045975,0.0,0.033223
6,8,85924.623677,114052611.330333,0.0,0.039304
6,19,101617.681102,98379345.440033,0.0,0.002462
6,23,137737.642786,62258789.064054,0.0,0.010606
6,27,131265.26652,68710906.9514,0.0,0.048255
7,9,136330.240447,63662433.912822,0.0,0.017076
8,18,116824.052705,83174229.259522,0.95439,0.042594
10,29,141746.420517,58251065.617381,0.0,0.010312
11,13,126117.976654,73833828.602675,0.02265,0.032328
11,29,135365.931544,64622268.190003,0.0,0.02734
13,14,129056.927837,70941853.510079,0.0,0.006961
13,22,121407.294423,78590901.001805,0.0,0.0442
14,20,132298.967961,67700818.384599,0.889897,0.01065
14,21,166269.59976,33728717.085842,0.998378,0.004995
14,24,118549.100709,81420375.31664,1.63877,0.04712
15,18,122711.922578,77249656.598763,0.973701,0.023544
15,19,109302.905969,90696240.489733,1.097322,0.021312
15,26,158767.596008,41231760.3909,0.0,0.003585
15,28,138052.218008,61947547.682838,0.803232,0.005406
16,23,157885.028936,42110530.138157,0.0,0.008837
16,25,149641.24526,50353535.637425,0.0,0.015127
19,24,131819.306794,68176363.765063,0.0,0.004194
19,25,167392.959489,32604067.052485,0.599623,0.001358
20,26,166074.063666,33924655.192799,1.996636,0.007287
22,32,126662.063074,73315663.464572,0.327945,0.051349
26,30,166773.242866,33220556.211864,0.0,0.024562
