node1,node2,bwd,delay,pkloss
1,3,136945.029616,2.153754,0.001703
1,7,109592.314796,2.131104,0.003919
1,16,133567.364302,2.697587,0.004046
2,4,68591.497391,1.573324,0.003026
2,7,123715.157599,1.892924,0.004688
2,12,93613.269115,2.658129,0.000739
2,13,89442.584788,2.510309,0.00055
2,18,31036.007631,2.257943,0.008776
2,23,35556.106763,2.175927,0.014401
3,10,109379.80524,2.612829,0.002818
3,11,16101.502611,30.3514,0.003342
3,14,15.770465,567.59274,0.019194
3,21,158714.795703,2.016544,0.007129
4,16,104509.392997,2.579093,0.003974
5,8,18677.074932,2.080202,0.002787
5,16,2942.708124,117.241502,0.004053
6,7,2190.248996,2.710342,0.0
6,19,1815.654618,1.818061,0.0
7,17,113551.688416,2.165198,0.002633
7,19,42848.046577,2.331614,0.032504
7,21,156756.603092,3.402114,0.008594
8,9,7528.305748,50.550938,0.003411
9,15,39925.438297,2.635598,0.0
9,16,96686.358068,2.060056,0.008049
10,11,23185.793491,2.258897,0.003528
10,12,143294.613301,2.626538,0.006931
10,16,92665.933581,2.497315,0.001604
10,17,119000.028098,1.900077,0.001384
12,22,190020.244734,1.765132,0.008002
13,14,1174.526485,712.348461,0.0
13,17,120159.076769,3.110051,0.0
13,19,43129.965898,2.199769,0.023763
15,20,39942.456845,2.471089,0.0
17,20,185099.807306,2.042055,0.0
17,23,35572.6001,1.613736,0.014552
18,21,38914.051612,2.464056,0.010485
20,22,48797.991565,2.243638,0.0
