node1,node2,free_bw,used_bw,delay,pkloss
1,3,77082.82513,122911027.166894,0.822425,0.0
1,7,141120.627451,58878776.310524,0.240326,0.010014
1,8,117856.359344,82142707.928131,0.67997,0.034516
1,10,114253.886355,85740769.651446,0.585675,0.034422
1,12,176660.754702,23338178.593465,1.202703,0.045814
1,30,156827.536615,43172463.385354,0.954628,0.006342
2,3,119113.404421,80880633.790137,0.0,0.022069
2,4,114363.748699,85633756.739587,0.185132,0.007686
2,5,151775.543063,48219714.262858,0.989318,0.037199
2,17,150655.150145,49343061.318396,0.483751,0.008656
2,21,148089.830332,51907573.380498,0.477552,0.008932
2,22,175694.397919,24303240.416062,0.979066,0.029869
2,28,194856.873862,5143126.137841,0.503302,0.0
2,31,186265.288387,13734711.613484,0.036836,0.0
3,4,88666.769908,111330845.138055,0.417352,0.009705
3,5,141512.7499,58486113.396524,4.18067,0.010727
3,6,113719.345338,86276935.513387,1.26183,0.003226
3,7,79235.230092,120761788.715486,0.265956,0.008099
3,12,171721.05002,28276648.472648,0.226855,0.03729
3,13,129320.8144,70678421.131333,0.234723,0.039466
3,15,153302.890756,46695567.120599,1.027822,0.04126
3,20,124474.396158,75522026.410564,0.664353,0.010892
3,27,182213.847939,17784685.669448,0.973344,0.046325
3,31,185606.928479,14392002.747523,0.384569,0.054496
3,32,88951.796719,111038067.226891,1.158118,0.022193
4,11,62472.684274,137514794.717887,0.0,0.026827
4,14,102658.93208,97339378.297923,0.810981,0.020342
4,16,78154.059818,121844283.816518,0.988245,0.013817
4,17,146432.30092,53565019.890921,0.67389,0.0
5,6,112118.060024,87874188.87555,0.844359,0.02833
5,9,149535.875963,50462474.583632,4.802346,0.032196
5,10,129328.207179,70670388.207078,0.863671,0.055844
5,11,128179.37575,71816450.580232,0.444174,0.01187
5,15,149587.878812,50411612.014509,1.112938,0.049577
5,16,148666.96569,51324869.696163,0.650525,0.054825
6,8,141159.135654,58838632.172869,1.046062,0.034314
6,19,103070.452981,96928354.541817,0.656366,0.002689
6,23,170049.543818,29949263.705482,0.609398,0.01018
6,27,195279.536046,4720452.064838,1.05083,0.056022
7,9,199290.054422,709910.0703,0.563741,0.0
8,18,170582.4656,29415669.160784,0.238419,0.059488
10,29,122948.902761,77042563.317978,72.473764,0.028012
11,13,108986.4376,91012096.52613,0.213861,0.044082
11,29,146761.511004,53230737.895158,0.0,0.037688
13,14,167799.555067,32195614.86674,0.42665,0.0
13,22,164060.9992,35938440.37599,0.626445,0.043068
14,20,137527.371011,62469791.485145,0.500202,0.025947
14,21,170867.204961,29132463.545666,0.414491,0.020167
14,24,113797.257577,86189167.129731,0.413895,0.053613
15,18,131788.443377,68209999.889167,0.536203,0.048309
15,19,191154.471753,8845355.560162,0.67699,0.063038
15,26,183927.421426,16071748.140901,1.001835,0.023084
15,28,199003.365263,996237.944436,0.939131,0.21322
16,23,176516.3333,23483648.876215,0.723481,0.012463
16,25,134503.03331,65491895.509869,0.699043,0.030827
19,24,131350.72509,68646293.717487,1.027822,0.012363
19,25,166212.301721,33787698.279312,0.807285,0.0
20,26,180400.125638,19599662.27119,0.701904,0.02713
22,32,146482.0008,53509055.622249,1.397967,0.037296
26,30,191460.224467,8539606.453805,1.151085,0.031085
