node1,node2,bwd,delay,pkloss
1,3,199999.903894,1.424909,0.0
1,7,199999.847833,1.143575,0.0
1,8,199999.903894,1.594543,0.0
1,10,199999.903894,1.686215,0.0
1,12,199999.903894,1.728415,0.0
1,30,199999.903894,1.557469,0.0
2,3,199999.903894,1.377702,0.0
2,4,199999.903904,1.300097,0.0
2,5,199999.903904,1.579881,0.0
2,17,199999.807789,2.132773,0.0
2,21,199999.751752,1.078367,0.0
2,22,199999.751752,1.391411,0.0
2,28,199999.903904,1.73378,0.0
2,31,199999.7998,1.683354,0.0
3,4,199999.903894,0.957727,0.0
3,5,199999.903894,1.351357,0.0
3,6,199999.903894,1.125574,0.0
3,7,199999.903894,1.122952,0.0
3,12,199999.903894,1.57094,0.0
3,13,199999.903894,1.515746,0.0
3,15,199999.903894,1.496077,0.0
3,20,199999.79978,0.66793,0.0
3,27,199999.903894,1.481295,0.0
3,31,199999.847833,1.306772,0.0
3,32,199999.791771,1.460314,0.0
4,11,199999.903904,1.438141,0.0
4,14,199999.903904,1.350045,0.0
4,16,199999.807808,1.035333,0.0
4,17,199999.807789,0.100493,0.0
5,6,199999.847848,1.254082,0.0
5,9,199999.903942,1.67191,0.0
5,10,199999.903904,1.42324,0.0
5,11,199999.903942,1.765013,0.0
5,15,199999.903904,1.501203,0.0
5,16,199999.807808,1.924753,0.0
6,8,199999.903894,1.358151,0.0
6,19,199999.751752,0.780344,0.0
6,23,199999.7998,0.151157,0.0
6,27,199999.903894,1.469135,0.0
7,9,199999.903904,1.164556,0.0
8,18,199999.855841,2.073288,0.0
10,29,199999.903894,1.578331,0.0
11,13,199999.903904,1.642942,0.0
11,29,199999.903894,1.770973,0.0
13,14,199999.903904,1.708388,0.0
13,22,199999.751752,1.07336,0.0
14,20,199999.855841,1.636744,0.0
14,21,199999.751752,2.057791,0.0
14,24,199999.807808,1.438379,0.0
15,18,199999.855856,1.169443,0.0
15,19,199999.751752,1.405597,0.0
15,26,199999.847848,1.779556,0.0
15,28,199999.903904,1.824617,0.0
16,23,199999.855856,0.933051,0.0
16,25,199999.7998,1.463771,0.0
19,24,199999.807885,1.552224,0.0
19,25,199999.855914,1.243949,0.0
20,26,199999.903894,1.638055,0.0
22,32,199999.7998,1.425266,0.0
26,30,199999.903904,1.574755,0.0
