node1,node2,free_bw,used_bw,delay,pkloss
1,3,138006.032603,61990987.098711,0.0,0.005581
1,7,121273.447345,78725956.595661,1.724601,0.006575
1,16,79987.893579,120000740.679393,0.330091,0.014111
2,4,133371.073107,66627734.773479,0.0,0.002062
2,7,118784.30243,81212828.784879,1.795173,0.008081
2,12,125389.216765,74606743.617488,1.180291,0.010498
2,13,137790.259026,62205102.53346,2.198339,0.008575
2,18,16983.423027,33015796.486547,51.121831,0.011919
2,23,31879.024,18120976.0,0.078559,0.003611
3,10,106729.592959,93264937.467144,0.192285,0.016505
3,11,18931.735521,31067541.580607,102.946281,0.024819
3,14,0.29803,3099701.970197,2461.96115,0.019198
3,21,165701.346135,34297461.746175,1.576066,0.011121
4,16,122425.034503,77571389.138915,2.172351,0.003788
5,8,40571.835551,9427096.827588,1.632214,0.007674
5,16,9.480948,49989557.815441,68.860054,0.007151
6,7,1528.123249,1569256.707183,2.456069,0.156495
6,19,918.767507,2181232.492997,1326.40183,0.0
7,17,127327.028703,72672971.297131,1.608014,0.004824
7,19,11776.15046,38221691.746608,53.561687,0.022115
7,21,159560.740074,40436279.627964,1.814604,0.017111
8,9,0,50001116.537027,155.222058,0.002383
9,15,18715.17407,31284081.298843,0.0,0.007062
9,16,77385.578558,122606416.482783,1.82569,0.010416
10,11,19969.705941,30030007.487545,76.002717,0.006004
10,12,70338.061418,129660223.141564,15.718818,0.005489
10,16,75038.911782,124956031.65758,0.607133,0.004291
10,17,82226.917383,117763689.308264,4.873037,0.007285
12,22,161148.024407,38851379.413819,1.118064,0.004207
13,14,110.56717,2989133.856669,2486.685634,0.0
13,17,136480.920184,63512131.907983,2.05338,0.013161
13,19,14268.47539,35730335.219507,2.198458,0.008474
15,20,18775.083017,31223951.641009,2.364159,0.014262
17,20,151317.235724,48682764.276429,2.000093,0.001783
17,23,32194.315432,17805088.508851,0.674963,0.005501
18,21,20229.020706,29770685.646895,2.091169,0.00902
20,22,16038.715872,33959911.845136,64.972162,0.014302
