node1,node2,bwd,delay,pkloss
1,3,172074.787262,0.0,0.00455
1,7,177372.97634,0.079155,0.007541
1,16,162377.30578,0.0,0.010827
2,4,135481.80014,0.0,0.002176
2,7,151748.884496,0.0,0.006725
2,12,120389.961051,0.0,0.00348
2,13,171299.355174,0.0,0.005174
2,18,36764.749026,0.0,0.008245
2,23,33591.501597,0.0,0.003248
3,10,159182.223112,19.710422,0.00518
3,11,12978.097336,89.463711,0.019831
3,14,201.930053,975.631118,0.0
3,21,0,0.0,0.0
4,16,127946.544728,0.0,0.004036
5,8,0,32.793164,0.011919
5,16,18515.08835,0.0,0.004918
6,7,1866.179096,0.0,0.0
6,19,2794.461815,0.0,0.0
7,17,155004.25566,0.0,0.003682
7,19,42900.817308,0.0,0.021237
7,21,183558.831586,0.0,0.006588
8,9,4835.442429,0.0,0.014301
9,15,33652.240511,0.0,0.005281
9,16,159167.501647,0.0,0.00637
10,11,31122.99028,0.0,0.014728
10,12,99378.016981,0.0,0.001687
10,16,115100.010788,0.0,0.002223
10,17,90967.529318,0.0,0.005631
12,22,182851.219814,0.0,0.003279
13,14,0.441514,2626.262784,0.0
13,17,119153.485418,0.0,0.006478
13,19,41729.030965,0.0,0.02697
15,20,30294.001403,0.0,0.003801
17,20,175702.302086,0.0,0.0
17,23,33715.080671,0.0,0.003281
18,21,40855.420753,0.0,0.003778
20,22,29791.113338,0.0,0.017544
