node1,node2,free_bw,used_bw,delay,pkloss
1,3,192490.649065,7508975.467547,1.618028,0.0
1,7,192651.128,7348276.0,1.6433,0.009502
1,16,153874.90153,46122481.235229,1.350403,0.01002
2,4,133203.478956,66795452.802615,1.918912,0.006657
2,7,175002.376,24997450.408477,0.521421,0.007676
2,12,152640.263842,47356709.026868,1.649499,0.012385
2,13,156519.088547,43480281.778748,1.39308,0.008563
2,18,24407.602678,25590960.232466,2.200603,0.011916
2,23,45837.40078,4162419.498128,1.499295,0.013515
3,10,195343.8001,4655575.950025,1.371026,0.025648
3,11,40524.844484,9474666.302048,1.433134,0.012807
3,14,208.269865,2891261.067466,483.420014,0.022104
3,21,190322.479256,9677208.371888,1.622081,0.098814
4,16,146182.813719,53817168.568058,2.476096,0.007592
5,8,40689.617924,9309768.833751,0.794053,0.024433
5,16,0,49999708.159566,152.796388,0.013106
6,7,1347.568,1752432.0,0.0,0.0
6,19,3086.690676,13306.661865,0.0,0.0
7,17,189850.765847,10149057.076585,1.699328,0.012567
7,19,47406.016,2592118.05042,1.300216,0.039355
7,21,196001.055578,3998552.211116,2.104163,0.010719
8,9,14569.761167,35430057.391599,87.378144,0.028535
9,15,11815.502201,38182094.991904,1.550913,0.022657
9,16,133574.079776,66422944.105564,2.027273,0.020357
10,11,15457.448724,34541372.589343,88.912845,0.02502
10,12,130196.45013,69801676.984014,1.887918,0.003748
10,16,127351.548226,72645585.479179,3.490567,0.00878
10,17,149785.691154,50212901.273418,1.034379,0.009186
12,22,193062.954227,6936699.162875,1.494288,0.017396
13,14,630.026987,2469849.588897,1809.472799,0.0
13,17,185503.219356,14496265.596771,1.114845,0.00798
13,19,45387.306923,4612175.041514,1.455426,0.026961
15,20,11420.09998,38579336.378177,1.501083,0.009796
17,20,155215.788842,44783019.396121,0.368953,0.001465
17,23,45594.616538,4405163.236526,1.740813,0.0
18,21,37097.894632,12901909.084714,2.556562,0.013215
20,22,44419.194564,5580412.716098,1.027226,0.01857
