node1,node2,bwd,delay,pkloss
1,3,193018.772341,0.616312,0.0
1,7,193426.133493,1.106977,0.0
1,16,154866.68508,0.719309,0.009427
2,4,134335.895927,0.908852,0.007043
2,7,175990.176323,1.67346,0.007327
2,12,156174.41409,0.708818,0.016311
2,13,161494.829581,0.135541,0.023672
2,18,29744.098469,30.923247,0.023922
2,23,46534.166717,1.413345,0.0
3,10,196122.983187,0.943542,0.049188
3,11,41158.016211,0.893712,0.013508
3,14,491.938357,66.253185,0.084175
3,21,193786.665866,1.697779,0.058128
4,16,147291.902732,5.458832,0.002547
5,8,40933.802462,0.774145,0.0
5,16,3488.826178,1.695871,0.025438
6,7,1367.759432,1.218081,0.0
6,19,3081.180708,0.547767,0.0
7,17,192675.726609,1.492977,0.054333
7,19,48035.825495,0.907063,0.0
7,21,197592.260182,0.95582,0.068823
8,9,16498.941259,43.892503,0.027981
9,15,18592.267387,1.700759,0.027811
9,16,135455.05694,0.825405,0.011454
10,11,18074.259408,0.0,0.02802
10,12,133284.246973,3.127575,0.022041
10,16,133375.492394,1.649976,0.005067
10,17,158737.720576,0.669837,0.021242
12,22,195078.699089,1.237392,0.0
13,14,839.233463,1.289368,0.0
13,17,189093.330131,0.326514,0.064599
13,19,46369.535475,0.393748,0.096432
15,20,18327.122586,1.413107,0.012224
17,20,164136.534774,0.426888,0.005429
17,23,46431.087361,1.446366,0.0
18,21,40768.224957,0.561595,0.0
20,22,46322.470529,0.0,0.088928
