node1,node2,free_bw,used_bw,delay,pkloss
1,3,59899.638109,140099766.07018,0.442266,0.000459
1,7,128093.763871,71904429.539992,0.281215,0.004067
1,8,109638.04839,90360413.97339,0.238657,0.002571
1,10,61853.394642,138145764.94025,10.243535,0.008544
1,12,177830.490853,22168913.326002,0.328898,0.002447
1,30,147970.408877,52027803.658904,0.392079,0.001608
2,3,57535.361855,142456893.242701,0.640035,0.003355
2,4,150736.163151,49263161.927073,0.374079,0.002205
2,5,82521.607357,117478306.588391,0.674963,0.010902
2,17,111473.234706,88526765.293881,0.524998,0.000583
2,21,158326.373451,41673626.54938,0.406265,0.004796
2,22,167961.403579,32038186.65516,0.524879,0.002978
2,28,159100.185907,40898283.695817,0.474572,0.009008
2,31,180682.926829,19317073.170731,0.393748,0.004868
3,4,193463.696891,6535707.287814,0.542521,0.004227
3,5,115962.843147,84036561.031689,0.432491,0.002841
3,6,50953.977807,149038572.87196,7.804513,0.000614
3,7,45924.054784,154070627.546242,0.357747,0.001388
3,12,159249.209237,40750790.762771,0.368118,0.003012
3,13,49895.695291,150097641.609664,0.700355,0.003816
3,15,113879.90003,86118044.987502,0.436664,0.004226
3,20,79199.480156,120798652.564966,0.476599,0.003286
3,27,145406.113223,54592158.824047,0.541449,0.01183
3,31,168117.121152,31882089.229288,0.672698,0.016237
3,32,50951.051579,149046865.492931,30.189633,0.003487
4,11,199999.808058,191.942417,0.416875,0.010431
4,14,185595.329401,14403826.553783,0.404835,0.009469
4,16,192544.542183,7455234.656712,0.425339,0.005718
4,17,192700.631747,7299137.2904,0.49901,0.002696
5,6,68996.637009,130999198.488754,0.684142,0.001006
5,9,150465.612316,49533791.862442,0.484705,0.002749
5,10,35955.521791,164038378.262607,11.844873,0.015635
5,11,48502.769169,151496039.188245,0.509262,0.001318
5,15,126651.868439,73346757.434438,0.331998,0.016461
5,16,98728.756497,101269751.512371,0.772357,0.010183
6,8,103538.716257,96454024.518568,0.446677,0.002843
6,19,58388.683395,141606621.917063,0.798106,0.000594
6,23,130596.261122,69397291.270436,0.654459,0.006465
6,27,158242.944589,41754065.490427,0.613451,0.013135
7,9,182775.807258,17222736.115191,0.347972,0.01151
8,18,159391.817636,40607344.205856,0.39351,0.0
10,29,60416.465414,139577576.96921,0.059009,0.004106
11,13,117435.609317,82563882.49782,0.561118,0.016502
11,29,144453.823853,55545782.99561,0.546217,0.01198
13,14,126326.988506,73670032.983507,0.613332,0.002994
13,22,150392.962111,49605653.876851,0.470877,0.012841
14,20,71714.538185,128282624.96061,0.549793,0.003976
14,21,158072.578968,41925921.410345,0.415206,0.004343
14,24,146089.997001,53908784.607996,0.537276,0.005096
15,18,90806.508746,109190608.082204,0.59092,0.007488
15,19,136796.321104,63203318.708535,0.483751,0.016376
15,26,141200.527736,58798280.85957,0.558138,0.004306
15,28,162469.477261,37529927.036481,0.675917,0.005726
16,23,170351.838448,29647871.259574,0.433326,0.003123
16,25,164301.863255,35697537.831813,0.546575,0.003628
19,24,70644.726582,129351698.490454,0.538111,0.001944
19,25,130450.824753,69549175.247425,0.514269,0.00121
20,26,139427.564974,60566429.407048,0.632882,0.002263
22,32,142948.827352,57050704.276923,0.55778,0.010271
26,30,188667.383785,11331483.519862,0.511885,0.010896
