node1,node2,bwd,delay,pkloss
1,3,4703.358336,62.09147,0.001561
1,7,158559.455946,0.233054,0.001614
1,8,60299.029903,1.838088,0.007497
1,10,104278.691869,1.657486,0.012831
1,12,190239.808,0.944257,0.0
1,30,145226.746675,0.748873,0.004638
2,3,90372.386477,3.119588,0.007817
2,4,134520.976195,2.367616,0.003273
2,5,148459.016,2.395511,0.013011
2,17,167077.147715,0.597835,0.001203
2,21,137283.392679,0.80657,0.0019
2,22,157823.276655,1.833916,0.014363
2,28,191695.963193,3.38006,0.013767
2,31,176816.761676,1.817346,0.01787
3,4,54555.351535,1.948953,0.003216
3,5,134837.475748,1.853704,0.007966
3,6,33572.861286,2.00963,0.000731
3,7,93566.345269,2.790213,0.004465
3,12,152983.866387,2.556205,0.004852
3,13,88405.145029,2.866864,0.011634
3,15,135602.288458,1.547337,0.015387
3,20,56308.958896,2.593279,0.003992
3,27,183523.528353,2.0082,0.008302
3,31,174300.150015,2.207518,0.021639
3,32,12609.777956,61.157346,0.006557
4,11,7746.992,54.944754,0.006865
4,14,106463.846385,3.311276,0.014543
4,16,32261.492298,2.321959,0.004006
4,17,145671.982396,0.115633,0.001417
5,6,105126.240624,1.467943,0.007705
5,9,175405.32,1.805186,0.004262
5,10,104908.056,3.595948,0.007135
5,11,121709.296,2.779603,0.004237
5,15,166971.92,2.496362,0.003067
5,16,148323.472695,2.070427,0.016156
6,8,153132.8,2.258182,0.007154
6,19,90802.976298,2.707243,0.002082
6,23,148095.755151,2.034783,0.010142
6,27,190796.69567,1.087785,0.007229
7,9,175952.427243,2.030611,0.00974
8,18,162168.0008,2.2434,0.006161
10,29,83943.836767,3.076792,0.020339
11,13,128179.52,1.762748,0.008683
11,29,118207.529506,1.109004,0.008075
13,14,160086.560656,0.294924,0.001823
13,22,145079.696,7.333636,0.005939
14,20,84242.744274,1.738191,0.015902
14,21,172516.787679,1.618385,0.021812
14,24,125888.188819,0.313759,0.008977
15,18,119020.438044,1.194119,0.005574
15,19,174347.882788,0.876307,0.010067
15,26,165273.526705,1.767159,0.018438
15,28,196769.584,0.836372,0.01237
16,23,158769.913983,2.019644,0.008645
16,25,117878.339834,2.193332,0.008526
19,24,123714.24,2.233624,0.0023
19,25,146753.851385,1.352906,0.0
20,26,175985.789158,2.904296,0.010187
22,32,151127.617524,0.419259,0.014075
26,30,185732.338468,2.016306,0.012657
